Handle,Title,Variant,SKU,Old_Price,New_Price,Change_Amount,Change_Pct,Match_Method
6-velcro-backing-plate,"6"" J-hook 658y Backing Plate With 5/8""-11 Threads, Rigid & Flexible, FOR Rotary Polisher, Female",Default Title,658Y,29.89,22.99,-6.9,-23.1,SKU
9-black-foam-pad-80-ppi,"9""- Black Soft Foam Finish PAD",Default Title,920G,20.79,15.99,-4.8,-23.1,SKU
reclaim-safe,Reclaim Safe,Default Title,RCP-RCS-01,35.09,26.99,-8.1,-23.1,SKU
5-gallon-drum-pump,Plastic Pump,Default Title,160145,18.19,13.99,-4.2,-23.1,SKU
5-gallon-cube-lid,5 GAL Cube Cap/lid,Default Title,CLP10,2.59,1.99,-0.6,-23.2,SKU
breakthrough,Breakthrough,32 ounces,2400-32,82.99,26.99,-56.0,-67.5,SKU
fresh-n-clean-wafers,Fresh N' Clean 60 CT BAG,Default Title,AS101,33.79,25.99,-7.8,-23.1,SKU
pot-brush-horse-hair-9,"Horse Hair Brush, Salt & Pepper",Default Title,85-817,14.29,10.99,-3.3,-23.1,SKU
medium-cut-maroon-foam-pad,"5""- Maroon Foam Medium Cutting PAD",5 Inch,RCP-5MAF,15.59,11.99,-3.6,-23.1,SKU
medium-cut-maroon-foam-pad,"5""- Maroon Foam Medium Cutting PAD",6 Inch,RCP-6MAF,16.89,12.99,-3.9,-23.1,SKU
medium-cut-maroon-foam-pad,"5""- Maroon Foam Medium Cutting PAD",3 Inch,RCP-3MAF,12.99,9.99,-3.0,-23.1,SKU
7-5-white-wool-pad-1-5-pile,"7.5"" WHITE WOOL PAD 1.5"" PILE",Default Title,7503G,23.39,17.99,-5.4,-23.1,SKU
uro-tec-5-blue-foam-buff-pad,"5""- Uro-tec Blue Heavy CUT Foam PAD",Default Title,554BN,24.69,18.99,-5.7,-23.1,SKU
nitrile-gloves-black,X-large Viper Nitrile Black 100/box,Extra Large,RCP-GL603,44.19,33.99,-10.2,-23.1,SKU
nitrile-gloves-black,X-large Viper Nitrile Black 100/box,Large,RCP-GL602,44.19,33.99,-10.2,-23.1,SKU
nitrile-gloves-black,X-large Viper Nitrile Black 100/box,Small,RCP-GL600,44.19,33.99,-10.2,-23.1,SKU
nitrile-gloves-black,X-large Viper Nitrile Black 100/box,Medium,RCP-GL601,44.19,33.99,-10.2,-23.1,SKU
black-detail-brush,"1.5""- Black Detail Brush",Default Title,HTI-516,6.49,4.99,-1.5,-23.1,SKU
strawberry-scent-wafers,Strawberry 60 CT BAG,Default Title,AS106,33.79,25.99,-7.8,-23.1,SKU
round-microfiber-wax-applicator,App: WAX Applicator Microfiber - Round,Default Title,RD-1-MF,2.59,1.99,-0.6,-23.2,SKU
16-oz-general-pump-oil,16 OZ. General Pump OIL,Default Title,100295,25.99,19.99,-6.0,-23.1,SKU
tornador-black-tool,Tornador Black Tool,Default Title,Z-020,462.79,355.99,-106.8,-23.1,SKU
8-white-waffle-flat-2-pk,"9""- White Waffle Foam PAD 2/pk",Default Title,899FBW,36.39,27.99,-8.4,-23.1,SKU
black-paint,Spray Paint - Gloss Black,Default Title,146987,7.79,5.99,-1.8,-23.1,SKU
one-step-polishing-yellow-microfiber-pad,"5""- Yellow Microfiber ONE Step Polishing PAD",5 Inch,RCP-5YLMF,18.19,13.99,-4.2,-23.1,SKU
one-step-polishing-yellow-microfiber-pad,"5""- Yellow Microfiber ONE Step Polishing PAD",3 Inch,RCP-3YLMF,15.59,11.99,-3.6,-23.1,SKU
one-step-polishing-yellow-microfiber-pad,"5""- Yellow Microfiber ONE Step Polishing PAD",6 Inch,RCP-6YLMF,20.79,15.99,-4.8,-23.1,SKU
ceramic-boost,Ceramic Boost,1 Gallon,RA1001,59.79,45.99,-13.8,-23.1,SKU
ceramic-boost,Ceramic Boost,5 Gallon,RA1005,192.39,147.99,-44.4,-23.1,SKU
wax-bottle-tops,RED TIP TOP FOR WAX Bottle,Default Title,RCP-103,1.29,0.99,-0.3,-23.3,SKU
6-5-green-polishing-foam-pad,"6.5"" GREEN POLISHING FOAM PAD",Default Title,614G,19.49,14.99,-4.5,-23.1,SKU
pot-brush-clear-9,"8.5"" POT Brush Clear Bristle",Default Title,86-611,14.29,10.99,-3.3,-23.1,SKU
cube-cap-wrench,Cube CAP Wrench,Default Title,CAPW-1,15.59,11.99,-3.6,-23.1,SKU
cucumber-melon-concentrate,Cucumber Melon,8 ounces,468-8,33.79,25.99,-7.8,-23.1,SKU
ik-hc-tr-1,IK HC TR 1,Default Title,84174,20.79,15.99,-4.8,-23.1,SKU
15-yellow-30-pressure-washer-tip-14-quick-connect,"Yellow Pressure Wash TIP 15-degree, Size 30",Default Title,RCP-915030Q,10.39,7.99,-2.4,-23.1,SKU
baby-powder-wafers,Baby Powder 60 CT BAG,Default Title,AS115,33.79,25.99,-7.8,-23.1,SKU
9-microfiber-polishing-bonnet,"9"" Microfiber Bonnet",Default Title,HT15MF,10.39,7.99,-2.4,-23.1,SKU
ik-e-foam-pro-12,IK Foam PRO 12,Default Title,82676,166.39,127.99,-38.4,-23.1,SKU
maxshine-detailing-clay-bar-3pcs-pack-white,MAXSHINE DETAILING CLAY BAR - 3PCS/PACK WHITE,Default Title,2043150W,20.97,32.99,12.02,57.3,SKU
rcp-spray-bottles-32-oz,Natural Spray Bottle,Default Title,RCP-101,2.59,1.99,-0.6,-23.2,SKU
wild-cherry-concentrate,Wild Cherry,8 ounces,381-8,33.79,25.99,-7.8,-23.1,SKU
plastic-multipurpose-scraper-12-pack,Plastic Multi-purpose Scraper,Default Title,RZ-020,15.59,11.99,-3.6,-23.1,SKU
white-lightning,White Lightning,32oz,4200-32,45.99,18.99,-27.0,-58.7,SKU
white-lightning,White Lightning,1 Gallon,4201,48.09,36.99,-11.1,-23.1,SKU
white-lightning,White Lightning,5 Gallon,4205,124.79,95.99,-28.8,-23.1,SKU
white-lightning,White Lightning,55 Gallon,4255,1112.79,855.99,-256.8,-23.1,SKU
green-apple-concentrate,Green Apple,8 ounces,444-8,33.79,25.99,-7.8,-23.1,SKU
black-trim-paint,Spray Paint- Black Trim,Default Title,HT810,23.39,17.99,-5.4,-23.1,SKU
new-leather-concentrate,NEW Leather,Default Title,419-8,33.79,25.99,-7.8,-23.1,SKU
radiance-ice-kit,Radiance ICE KIT,Default Title,RA-ICE-KIT,113.09,86.99,-26.1,-23.1,SKU
hand-soap,Magic RCP Hand Soap 3.55l,2.5 L,2358831,46.79,35.99,-10.8,-23.1,SKU
blue-detailing-clay-bar-fine,Clay Blue- Fine,Default Title,CM2200,53.29,40.99,-12.3,-23.1,SKU
green-apple-wafers,Green Apple 60 CT BAG,Default Title,AS116,33.79,25.99,-7.8,-23.1,SKU
55-gallon-drum-pump,Plastic Drum Pump,Default Title,160118,32.49,24.99,-7.5,-23.1,SKU
steel-wool-5lb-reel,(72005) Steel Wool Roll - Grade #00,Default Title,SWR-0000,42.89,32.99,-9.9,-23.1,SKU
pina-colada-wafers,Pina Colada 60 CT BAG,Default Title,AS105,33.79,25.99,-7.8,-23.1,SKU
one,One- 3 IN 1,Default Title,7632,97.49,74.99,-22.5,-23.1,SKU
uro-tec-3-yellow-foam-buff-pad-2-pk,"3""- Uro-tec Yellow Foam Polish Pad..2/pk",Default Title,334BN,24.69,18.99,-5.7,-23.1,SKU
nylon-detail-brush,Toothbrush - Plastic,Default Title,85-646,5.19,3.99,-1.2,-23.1,SKU
pot-brush-green-flagged-20,"20"" Fender Brush Green",Default Title,85-815,23.39,17.99,-5.4,-23.1,SKU
dual-end-detail-brush,Dual END Detail Brush,Default Title,85-653,5.19,3.99,-1.2,-23.1,SKU
steel-wool-12pk,Steel Wool 12pk- Grade #00,Default Title,SWP-0000,9.09,6.99,-2.1,-23.1,SKU
matte-shampoo,MATTE SHAMPOO,Default Title,MS-3216,14.99,9.99,-5.0,-33.4,SKU
quick-change-socket-3-8-male,"QUICK CHANGE SOCKET 3/8"" MALE",Default Title,D10004,10.39,7.99,-2.4,-23.1,SKU
heavy-cut-blue-microfiber-pad,"3""- Blue Microfiber Heavy Cutting",3 Inch,RCP-3BLMF,15.59,11.99,-3.6,-23.1,SKU
heavy-cut-blue-microfiber-pad,"3""- Blue Microfiber Heavy Cutting",5 Inch,RCP-5BLMF,18.19,13.99,-4.2,-23.1,SKU
heavy-cut-blue-microfiber-pad,"3""- Blue Microfiber Heavy Cutting",6 Inch,RCP-6BLMF,20.79,15.99,-4.8,-23.1,SKU
cool-breeze-wafers,Cool Breeze 60 CT BAG,Default Title,AS127,33.79,25.99,-7.8,-23.1,SKU
new-car-scent-concentrate,NEW CAR,8 ounces,414-8,33.79,25.99,-7.8,-23.1,SKU
new-car-scent-concentrate,NEW CAR,1 Gallon,7201,25.99,19.99,-6.0,-23.1,SKU
react,React Ceramic Soap,16 ounces,RA3400-16,40.99,9.99,-31.0,-75.6,SKU
bi-level-truck-brush-green-nylon,Bi-level Truck Brush Green Nylon,Default Title,186-N,45.49,34.99,-10.5,-23.1,SKU
white-finishing-foam-buff-pads,"3""- White Foam Finishing PAD",3 Inch,RCP-3WHF,12.99,9.99,-3.0,-23.1,SKU
white-finishing-foam-buff-pads,"3""- White Foam Finishing PAD",6 Inch,RCP-6WHF,16.89,12.99,-3.9,-23.1,SKU
white-finishing-foam-buff-pads,"3""- White Foam Finishing PAD",5 Inch,RCP-5WHF,15.59,11.99,-3.6,-23.1,SKU
radiance-non-silicone-instant-shine,Body Shop Safe Radiance RCP,Aerosol,SP938,15.59,11.99,-3.6,-23.1,SKU
uro-tec-5-yellow-foam-buff-pad,"5""- Uro-tec Yellow Polish Foam PAD",Default Title,534BN,24.69,18.99,-5.7,-23.1,SKU
6-5black-grip-pad,"6.5""BLACK GRIP PAD",Default Title,612G,19.49,14.99,-4.5,-23.1,SKU
mango-tango-concentrate,Mango Tango,8 ounces,426-8,33.79,25.99,-7.8,-23.1,SKU
uro-tec-5-white-foam-buff-pad,"5""- Uro-tec White Finish Foam PAD",Default Title,592BN,24.69,18.99,-5.7,-23.1,SKU
7-ridgid-grip-backing-plate,"7"" Velcro Backing Plate",Default Title,1938,33.79,25.99,-7.8,-23.1,SKU
ik-multi-12,IK Multi PRO 12,Default Title,82671,153.39,117.99,-35.4,-23.1,SKU
pina-colada-concentrate,Pina Colada,8 ounces,415-8,33.79,25.99,-7.8,-23.1,SKU
white-grip-pad,"6""- White Finish Foam PAD",Default Title,619G,19.49,14.99,-4.5,-23.1,SKU
ik-foam-pro-2,IK Foam PRO 2L,Default Title,81676,57.19,43.99,-13.2,-23.1,SKU
repel,Repel,16 ounces,8200-16,31.99,9.99,-22.0,-68.8,SKU
large-stripped-wax-applicator,Jumbo Stripped Applicator Wp-str2,Default Title,TDA57,2.59,1.99,-0.6,-23.2,SKU
pot-brush-red-9,RED Upholstery Brush,Default Title,85-669,15.59,11.99,-3.6,-23.1,SKU
glass-cleaner-aerosol,Glass Cleaner Aerosol,Aerosol,SP750,7.79,5.99,-1.8,-23.1,SKU
clear-acid,Clear Acid,32oz,2200-32,25.99,12.99,-13.0,-50.0,SKU
clear-acid,Clear Acid,1 Gallon,2201,28.59,21.99,-6.6,-23.1,SKU
clear-acid,Clear Acid,5 Gallon,2205,77.99,59.99,-18.0,-23.1,SKU
clear-acid,Clear Acid,55 Gallon,2255,397.79,305.99,-91.8,-23.1,SKU
brass-wire-whitewall-sidewall-tire-brush,BRASS WIRE WHITEWALL/SIDEWALL TIRE BRUSH,Default Title,85-637,14.29,10.99,-3.3,-23.1,SKU
25-green-30-pressure-washer-tip-14-quick-connect,"Green Pressure Wash TIP 25-degree, Size 30",Default Title,RCP-925030Q,10.39,7.99,-2.4,-23.1,SKU
4-tire-dressing-brush,"4""- Tire Dressing Brush",Default Title,104125,12.99,9.99,-3.0,-23.1,SKU
pressure-washer-foam-canon,Pressure Washer Foam Cannon,Default Title,RCP-SSF-300,97.49,74.99,-22.5,-23.1,SKU
9-green-foam-pad-60-ppi,"9""- Green Soft Foam Medium CUT PAD",Default Title,940G,20.79,15.99,-4.8,-23.1,SKU
1-push-retractable-blade-compact-scraper,"Soft Grip Scraper, Push Button",Default Title,SGS,7.79,5.99,-1.8,-23.1,SKU
18-classic-y-bar-squeegee,18' Classic Ky-bar Squeegee,Default Title,25-928,64.99,49.99,-15.0,-23.1,SKU
fresh-n-clean-concentrate,Fresh N' Clean,8 ounces,357-8,33.79,25.99,-7.8,-23.1,SKU
vaccum-pet-hair-removal-tool,Fur-eel PET Hair Tool,Default Title,FUR-EEL,23.39,17.99,-5.4,-23.1,SKU
respirator-masks,50 PK Dust/paint Mask,Default Title,NBW95,33.79,25.99,-7.8,-23.1,SKU
oj-the-juice,"OJ ""The Juice""",1 Gallon,4001,50.69,38.99,-11.7,-23.1,SKU
oj-the-juice,"OJ ""The Juice""",5 Gallon,4005,137.79,105.99,-31.8,-23.1,SKU
oj-the-juice,"OJ ""The Juice""",55 Gallon,4055,1299.99,999.99,-300.0,-23.1,SKU
3-yellow-foam-2pk,"3""- Yellow Polish Foam 2/pk",Default Title,330G,16.89,12.99,-3.9,-23.1,SKU
pressure-pro-heavy-duty-pressure-washer-1500-psi-110-volt-electric,110 V Electric Pressure Washer 1500 PSI 2.0 GM,Default Title,EE2015G,1988.99,1529.99,-459.0,-23.1,SKU
wipeout-odor-eliminator-system,Wipe OUT Odor Eliminator,Default Title,ASDTX,33.79,25.99,-7.8,-23.1,SKU
hand-soap-dispenser,Magic Hand Soap Dispenser 2.5,2.5 L,DSP1-JS25,23.39,17.99,-5.4,-23.1,SKU
hand-soap-dispenser,Magic Hand Soap Dispenser 2.5,3.5 L,DSP1-JS35,41.59,31.99,-9.6,-23.1,SKU
round-terry-blue-wax-applicator,Round Terry Applicators,Default Title,RD-1-TY,2.59,1.99,-0.6,-23.2,SKU
5-uro-fiber-buff-pads,"5""- Uro-fiber Salt&pepper Microfiber PAD",Default Title,592MFP,24.69,18.99,-5.7,-23.1,SKU
11-terry-cloth-bonnet,"11"" Terry Cloth Bonnet",Default Title,100,9.09,6.99,-2.1,-23.1,SKU
wool-buffing-pad-cleaning-spur,Spur Cleaning Tool,Default Title,5000,23.39,17.99,-5.4,-23.1,SKU
car-wash-mitt-spun-gold,Wool Wash Mitt,Default Title,85-310,9.09,6.99,-2.1,-23.1,SKU
prime-time,Prime Time,16oz,1000-16,31.99,8.99,-23.0,-71.9,SKU
prime-time,Prime Time,32oz,1000-32,31.99,8.99,-23.0,-71.9,SKU
3-backing-plate-with-14mm-threads,"3"" Velcro Backing Plate 14mm Thread",Default Title,314,16.89,12.99,-3.9,-23.1,SKU
5-gallon-spout,5 GAL Cube Spouts,Default Title,DA27,9.09,6.99,-2.1,-23.1,SKU
15-x-16-vinyl-crevice-tool,1.5x16' Vinyl Crevice Tool,Default Title,VCT-15,16.89,12.99,-3.9,-23.1,SKU
uro-tec-dark-blue-heavy-polishing-6,"5""- Uro-tec Blueberry Heavy Polish Foam PAD",Default Title,556BN,24.69,18.99,-5.7,-23.1,SKU
vacuum-hose-kit,Vacuum Hose KIT,Default Title,M100-P,83.19,63.99,-19.2,-23.1,SKU
ac-sanitizer-fogger,A/C SANITIZER FOGGER,Aerosol,855,28.99,17.99,-11.0,-37.9,SKU
7-5-yellow-wool-pad-1-5-pile,"7.5"" YELLOW  WOOL PAD 1.5"" PILE",Default Title,7503GY,24.69,18.99,-5.7,-23.1,SKU
strawberry-concentrate,Strawberry,Default Title,424-8,33.79,25.99,-7.8,-23.1,SKU
safety-glasses,AC: Safety Glasses,Default Title,SG-2,14.29,10.99,-3.3,-23.1,SKU
citrus-solv,Citrus Solv,Default Title,5301,59.79,45.99,-13.8,-23.1,SKU
3-backing-plate-with-5-8-threads,"3"" BACKING PLATE WITH 5/8 THREADS",Default Title,358,16.89,12.99,-3.9,-23.1,SKU
quick-change-plug-1-4-male,"QUICK CHANGE PLUG 1/4"" MALE",Default Title,D10007,10.39,7.99,-2.4,-23.1,SKU
quick-change-socket-3-8-female,"QUICK CHANGE SOCKET 3/8"" FEMALE",Default Title,D10003,10.39,7.99,-2.4,-23.1,SKU
55-micro-fibre-finishing-pad,"5""- Black Finish Microfiber PAD",Default Title,520MFP,20.79,15.99,-4.8,-23.1,SKU
